Category,Rating,Reviews,Size,Installs,Content Rating,Current Ver,Android Ver,Main_Genre,Days_Since_Last_Update
ART_AND_DESIGN,3.9,136,4600.0,10000,Everyone,6.0,2.3 and up,Art & Design,1909
ART_AND_DESIGN,4.1,223,4200.0,100000,Everyone,1.0,2.3 and up,Art & Design,2233
ART_AND_DESIGN,4.2,1120,9200.0,100000,Everyone,6.7.12.2018,4.0.3 and up,Art & Design,1909
ART_AND_DESIGN,4.1,227,5200.0,50000,Everyone,1.2,2.3 and up,Art & Design,1951
ART_AND_DESIGN,4.5,5035,11000.0,100000,Everyone,2.20,4.0 and up,Art & Design,1902
ART_AND_DESIGN,4.2,1015,11000.0,100000,Everyone,1.1.0,4.1 and up,Art & Design,2096
ART_AND_DESIGN,4.7,353,4200.0,10000,Teen,1.6,4.1 and up,Art & Design,1985
ART_AND_DESIGN,3.8,564,9200.0,100000,Everyone,2.1,4.1 and up,Art & Design,1910
ART_AND_DESIGN,4.7,8145,24000.0,500000,Everyone,1.0.9,4.4 and up,Art & Design,1888
ART_AND_DESIGN,4.1,36639,14000.0,5000000,Everyone,Varies with device,2.3.3 and up,Art & Design,1907
ART_AND_DESIGN,4.7,158,11000.0,10000,Everyone,1.3,4.0.3 and up,Art & Design,2134
ART_AND_DESIGN,4.0,591,9400.0,500000,Everyone,1,4.0 and up,Art & Design,2012
ART_AND_DESIGN,4.2,117,15000.0,10000,Everyone,2.0.1,4.0.3 and up,Art & Design,1901
ART_AND_DESIGN,4.5,176,10000.0,100000,Everyone,1.0,4.0.3 and up,Art & Design,2010
ART_AND_DESIGN,4.4,295221,14000.0,10000000,Everyone,Varies with device,Varies with device,Art & Design,1891
ART_AND_DESIGN,3.8,2206,1200.0,100000,Everyone,1.46,4.1 and up,Art & Design,1997
ART_AND_DESIGN,4.2,26,12000.0,10000,Everyone,1.0.0,4.1 and up,Art & Design,2099
ART_AND_DESIGN,4.7,174531,24000.0,10000000,Everyone,1.6.1,4.1 and up,Art & Design,1890
ART_AND_DESIGN,4.6,1070,26000.0,100000,Everyone,1.6,4.1 and up,Art & Design,2149
ART_AND_DESIGN,4.2,85,8000.0,100000,Everyone,2.0.0,4.1 and up,Art & Design,2116
ART_AND_DESIGN,4.3,845,7900.0,100000,Everyone,1.0,2.3 and up,Art & Design,1954
AUTO_AND_VEHICLES,4.2,367,25000.0,100000,Everyone,1.0,4.0.3 and up,Auto & Vehicles,1972
AUTO_AND_VEHICLES,4.0,1598,56000.0,1000000,Everyone,11.0,4.1 and up,Auto & Vehicles,1895
AUTO_AND_VEHICLES,3.8,284,57000.0,100000,Everyone,3.0,4.1 and up,Auto & Vehicles,1895
AUTO_AND_VEHICLES,4.6,17057,14000.0,1000000,Everyone,Varies with device,Varies with device,Auto & Vehicles,1891
AUTO_AND_VEHICLES,3.9,129,35000.0,100000,Everyone,3.0,4.1 and up,Auto & Vehicles,1895
AUTO_AND_VEHICLES,4.3,542,33000.0,100000,Everyone,4.0,4.1 and up,Auto & Vehicles,1890
AUTO_AND_VEHICLES,4.9,10479,33000.0,100000,Everyone,1.7.1,4.0 and up,Auto & Vehicles,1903
AUTO_AND_VEHICLES,4.4,805,5600.0,50000,Everyone,2.5.1,4.4 and up,Auto & Vehicles,1892
AUTO_AND_VEHICLES,4.2,129,54000.0,100000,Everyone,3.0,4.1 and up,Auto & Vehicles,1895
AUTO_AND_VEHICLES,4.0,1403,0.201,100000,Everyone,1.0.1,2.2 and up,Auto & Vehicles,3325
AUTO_AND_VEHICLES,3.9,3971,3600.0,100000,Everyone,2.493,4.4 and up,Auto & Vehicles,1891
AUTO_AND_VEHICLES,4.6,534,5700.0,10000,Everyone,1.9.1,4.0.3 and up,Auto & Vehicles,1913
AUTO_AND_VEHICLES,4.9,7774,17000.0,100000,Everyone,1.7,4.2 and up,Auto & Vehicles,1918
AUTO_AND_VEHICLES,4.3,38846,8600.0,1000000,Everyone,2.20 Build 02,4.1 and up,Auto & Vehicles,1893
AUTO_AND_VEHICLES,4.6,2431,2400.0,100000,Everyone,1.37,4.0 and up,Auto & Vehicles,1939
AUTO_AND_VEHICLES,4.9,6090,27000.0,100000,Everyone,1.7,4.2 and up,Auto & Vehicles,1918
AUTO_AND_VEHICLES,3.9,295,2700.0,10000,Everyone,0.2.1,4.4 and up,Auto & Vehicles,1891
AUTO_AND_VEHICLES,4.0,190,2500.0,50000,Everyone,1.0,2.3 and up,Auto & Vehicles,2545
AUTO_AND_VEHICLES,4.3,40211,14000.0,5000000,Everyone,Varies with device,Varies with device,Auto & Vehicles,1891
AUTO_AND_VEHICLES,3.9,356,14000.0,100000,Everyone,Varies with device,Varies with device,Auto & Vehicles,1957
AUTO_AND_VEHICLES,4.2,52530,7000.0,5000000,Everyone,4.47.3,4.0.3 and up,Auto & Vehicles,1905
AUTO_AND_VEHICLES,4.8,116986,35000.0,5000000,Everyone,1.9.7,4.0.3 and up,Auto & Vehicles,1888
AUTO_AND_VEHICLES,3.6,1379,16000.0,500000,Everyone,2.2.21,4.2 and up,Auto & Vehicles,1888
AUTO_AND_VEHICLES,4.2,271920,16000.0,10000000,Teen,Varies with device,5.0 and up,Auto & Vehicles,1910
AUTO_AND_VEHICLES,4.8,736,14000.0,100000,Everyone,2.9,2.3.3 and up,Auto & Vehicles,1892
AUTO_AND_VEHICLES,4.8,7021,17000.0,500000,Everyone,1.79,4.0 and up,Auto & Vehicles,1894
AUTO_AND_VEHICLES,4.6,197,3400.0,50000,Everyone,1.3,4.0 and up,Auto & Vehicles,1937
AUTO_AND_VEHICLES,4.5,737,8900.0,100000,Everyone,2.3.5.1,4.1 and up,Auto & Vehicles,1943
AUTO_AND_VEHICLES,4.3,3574,3900.0,1000000,Everyone 10+,1.6,4.0 and up,Auto & Vehicles,1917
AUTO_AND_VEHICLES,4.5,994,2900.0,100000,Everyone,1.6,4.1 and up,Auto & Vehicles,2016
AUTO_AND_VEHICLES,4.9,197136,38000.0,1000000,Everyone,8.31,4.1 and up,Auto & Vehicles,1906
AUTO_AND_VEHICLES,3.9,142,32000.0,50000,Everyone,1.1.5.0,6.0 and up,Auto & Vehicles,1897
AUTO_AND_VEHICLES,4.4,15168,37000.0,1000000,Everyone,10.0.2,4.2 and up,Auto & Vehicles,1894
AUTO_AND_VEHICLES,4.0,2155,15000.0,500000,Everyone,1.10.3,5.0 and up,Auto & Vehicles,1891
AUTO_AND_VEHICLES,4.3,138,5400.0,100000,Everyone,1.0,4.0.3 and up,Auto & Vehicles,1898
AUTO_AND_VEHICLES,3.7,5414,18000.0,1000000,Everyone,3.20.1,4.4 and up,Auto & Vehicles,1898
AUTO_AND_VEHICLES,4.4,21777,14000.0,1000000,Everyone,Varies with device,Varies with device,Auto & Vehicles,1886
AUTO_AND_VEHICLES,4.3,348,38000.0,100000,Everyone,1.0.3,2.3 and up,Auto & Vehicles,1892
AUTO_AND_VEHICLES,3.2,250,1100.0,100000,Everyone,1.4,4.0.3 and up,Auto & Vehicles,1985
AUTO_AND_VEHICLES,4.6,13372,14000.0,1000000,Everyone,Varies with device,Varies with device,Auto & Vehicles,1887
AUTO_AND_VEHICLES,4.6,7880,14000.0,100000,Everyone,4.6.5,Varies with device,Auto & Vehicles,1972
AUTO_AND_VEHICLES,4.5,3617,7900.0,100000,Everyone,2.8.2,4.1 and up,Auto & Vehicles,1966
AUTO_AND_VEHICLES,3.7,4806,35000.0,1000000,Everyone,4.0.3,4.0.3 and up,Auto & Vehicles,1890
AUTO_AND_VEHICLES,4.6,65786,14000.0,1000000,Everyone,Varies with device,4.0.3 and up,Auto & Vehicles,1888
AUTO_AND_VEHICLES,4.6,31433,17000.0,1000000,Everyone,1.40,4.0.3 and up,Auto & Vehicles,1888
AUTO_AND_VEHICLES,4.6,5097,19000.0,1000000,Everyone,1.5.18,4.0.3 and up,Auto & Vehicles,1898
AUTO_AND_VEHICLES,4.0,1754,14000.0,500000,Everyone,2.3.4,4.0 and up,Auto & Vehicles,1949
AUTO_AND_VEHICLES,4.4,2680,2200.0,500000,Everyone,1.03,4.0.3 and up,Auto & Vehicles,2023
AUTO_AND_VEHICLES,4.0,1288,4500.0,100000,Everyone,2.17,4.0 and up,Auto & Vehicles,1991
BEAUTY,4.7,18900,17000.0,500000,Everyone,6.10.1,5.0 and up,Beauty,1888
BEAUTY,4.9,49790,14000.0,1000000,Everyone,2.3.0,4.1 and up,Beauty,2154
BEAUTY,4.7,1150,9800.0,100000,Everyone,4.0,4.1 and up,Beauty,1967
BEAUTY,3.9,1739,21000.0,500000,Everyone,1.0.6,4.0.3 and up,Beauty,1909
BEAUTY,3.9,32090,14000.0,1000000,Everyone,Varies with device,Varies with device,Beauty,2535
BEAUTY,4.2,2225,52000.0,500000,Everyone,1.6,4.1 and up,Beauty,2043
BEAUTY,4.6,4369,14000.0,100000,Everyone,1.9,4.0.3 and up,Beauty,1896
BEAUTY,4.3,8572,25000.0,1000000,Everyone,1.1.0,4.0 and up,Beauty,1972
BEAUTY,4.7,964,9000.0,50000,Everyone,4.0,4.2 and up,Beauty,1930
BEAUTY,4.7,42050,14000.0,1000000,Everyone,5.4,5.0 and up,Beauty,1946
BEAUTY,4.8,104,12000.0,10000,Everyone,1.3,4.0.3 and up,Beauty,1925
BEAUTY,4.2,17934,14000.0,1000000,Everyone,Varies with device,Varies with device,Beauty,2212
BEAUTY,4.3,601,35000.0,100000,Everyone,2.0.0,4.0 and up,Beauty,1949
BEAUTY,4.5,36,6700.0,10000,Everyone,6.0,4.0 and up,Beauty,1895
BEAUTY,4.1,187,30000.0,50000,Teen,3.0.1,4.0.3 and up,Beauty,1897
BEAUTY,4.2,30,2900.0,10000,Everyone,3.3.9,4.0.3 and up,Beauty,2003
BEAUTY,4.5,134,17000.0,10000,Everyone,1.20,4.0.3 and up,Beauty,2042
BEAUTY,4.4,74,2900.0,10000,Everyone,2.3.09,4.0.3 and up,Beauty,2007
BEAUTY,4.0,113715,14000.0,10000000,Everyone,Varies with device,Varies with device,Beauty,2252
BEAUTY,4.1,3595,14000.0,500000,Everyone,Varies with device,4.0 and up,Beauty,1958
BEAUTY,4.1,9315,2600.0,1000000,Everyone,1.4.2,4.0 and up,Beauty,2142
BEAUTY,4.4,75,4200.0,50000,Everyone,1.0.0,4.0.3 and up,Beauty,2176
BEAUTY,4.6,38,7100.0,10000,Everyone,1.0,4.0 and up,Beauty,1953
BEAUTY,4.5,26834,57000.0,1000000,Everyone,18.5,5.0 and up,Beauty,1897
BEAUTY,3.9,2277,22000.0,500000,Everyone,1.1.0,4.0.3 and up,Beauty,1909
BEAUTY,4.4,2280,24000.0,500000,Everyone,1.1.0,4.0 and up,Beauty,1968
BEAUTY,4.6,184,21000.0,10000,Everyone,1.5,4.1 and up,Beauty,1919
BEAUTY,3.8,9,3400.0,5000,Everyone,1.0,4.0 and up,Beauty,1944
BEAUTY,4.0,364,6400.0,100000,Everyone,1.1,4.0.3 and up,Beauty,1958
BEAUTY,4.3,18,3200.0,5000,Everyone,1.2.13,4.0.3 and up,Beauty,1950
BEAUTY,4.5,473,8200.0,100000,Mature 17+,1.0.2.0,1.6 and up,Beauty,2407
BEAUTY,4.1,66,2900.0,10000,Everyone,3.1.89,4.0.3 and up,Beauty,2007
BEAUTY,3.7,3871,23000.0,1000000,Everyone,2.2.0,4.0 and up,Beauty,1891
BEAUTY,4.7,257,4600.0,50000,Everyone,1.0,4.0.3 and up,Beauty,2248
BEAUTY,4.2,62,3100.0,10000,Everyone,1.9.2,4.0.3 and up,Beauty,1954
BOOKS_AND_REFERENCE,4.6,2914724,14000.0,100000000,Teen,Varies with device,Varies with device,Books & Reference,1889
BOOKS_AND_REFERENCE,4.5,1857,4900.0,50000,Everyone,1.3.2,4.4 and up,Books & Reference,1887
BOOKS_AND_REFERENCE,4.6,4478,9500.0,100000,Everyone 10+,1.1,4.0 and up,Books & Reference,2255
BOOKS_AND_REFERENCE,4.4,577550,14000.0,10000000,Everyone,Varies with device,Varies with device,Books & Reference,1888
BOOKS_AND_REFERENCE,4.2,814080,14000.0,100000000,Teen,Varies with device,Varies with device,Books & Reference,1894
BOOKS_AND_REFERENCE,4.5,246315,14000.0,10000000,Everyone,Varies with device,1.5 and up,Books & Reference,3000
BOOKS_AND_REFERENCE,4.5,454060,14000.0,10000000,Everyone,Varies with device,Varies with device,Books & Reference,1964
BOOKS_AND_REFERENCE,4.5,155446,14000.0,10000000,Teen,Varies with device,Varies with device,Books & Reference,1987
BOOKS_AND_REFERENCE,4.5,418,4200.0,100000,Everyone,2.1,4.1 and up,Books & Reference,2016
BOOKS_AND_REFERENCE,4.4,22486,5400.0,1000000,Teen,3.2.1,4.0 and up,Books & Reference,1945
BOOKS_AND_REFERENCE,4.5,203130,14000.0,10000000,Everyone,Varies with device,Varies with device,Books & Reference,1923
BOOKS_AND_REFERENCE,4.6,1435,2800.0,500000,Everyone,1.0,4.0 and up,Books & Reference,2081
BOOKS_AND_REFERENCE,4.8,116507,5000.0,1000000,Teen,2.0.075,4.0.3 and up,Books & Reference,1889
BOOKS_AND_REFERENCE,3.9,1433233,14000.0,1000000000,Teen,Varies with device,Varies with device,Books & Reference,1887
BOOKS_AND_REFERENCE,4.6,90468,5900.0,5000000,Everyone,1.911805270,2.3 and up,Books & Reference,1955
BOOKS_AND_REFERENCE,4.2,860,13000.0,100000,Everyone,1.0,4.0.3 and up,Books & Reference,1904
BOOKS_AND_REFERENCE,4.1,363934,7100.0,10000000,Everyone,9.1.363,4.1 and up,Books & Reference,1910
BOOKS_AND_REFERENCE,4.7,967,6700.0,500000,Everyone,1.1.6,4.0.3 and up,Books & Reference,1886
BOOKS_AND_REFERENCE,4.2,87873,14000.0,10000000,Teen,Varies with device,Varies with device,Books & Reference,1954
BOOKS_AND_REFERENCE,4.3,17506,17000.0,1000000,Everyone,2.3.18,4.1 and up,Books & Reference,1901
BOOKS_AND_REFERENCE,3.3,1862,19000.0,1000000,Everyone,2.2.5,4.1 and up,Books & Reference,1985
BOOKS_AND_REFERENCE,4.6,2084,6700.0,500000,Everyone,15.0,2.3 and up,Books & Reference,1965
BOOKS_AND_REFERENCE,4.8,47303,21000.0,1000000,Everyone,18.05.31+530,4.1 and up,Books & Reference,1949
BOOKS_AND_REFERENCE,4.7,19080,14000.0,500000,Everyone,Varies with device,Varies with device,Books & Reference,1987
BOOKS_AND_REFERENCE,4.1,85842,37000.0,5000000,Everyone,5.0.6,4.0 and up,Books & Reference,1926
BOOKS_AND_REFERENCE,4.6,7831,15000.0,100000,Teen,1.2.3,4.0 and up,Books & Reference,1917
BOOKS_AND_REFERENCE,4.1,91615,23000.0,5000000,Mature 17+,3.12,4.1 and up,Books & Reference,1922
BOOKS_AND_REFERENCE,4.6,4620,19000.0,500000,Everyone,2.0,4.0.3 and up,Books & Reference,2140
BOOKS_AND_REFERENCE,4.7,21336,23000.0,1000000,Everyone,1.28,3.0 and up,Books & Reference,1931
BOOKS_AND_REFERENCE,4.5,26875,73000.0,500000,Everyone,6.0.8,4.0.3 and up,Books & Reference,1889
BOOKS_AND_REFERENCE,3.9,1778,4900.0,500000,Mature 17+,1.0.3,2.1 and up,Books & Reference,3274
BOOKS_AND_REFERENCE,4.4,2709,6800.0,1000000,Everyone,1.9,4.4 and up,Books & Reference,1910
BOOKS_AND_REFERENCE,4.3,64513,14000.0,5000000,Everyone,Varies with device,Varies with device,Books & Reference,1890
BOOKS_AND_REFERENCE,4.2,8342,14000.0,10000000,Everyone,9.00.950462,7.0 and up,Books & Reference,2227
BOOKS_AND_REFERENCE,4.5,527,2900.0,100000,Everyone,14.0,4.0 and up,Books & Reference,2012
BOOKS_AND_REFERENCE,4.4,1322,3500.0,100000,Everyone,6.0,4.0.3 and up,Books & Reference,1954
BOOKS_AND_REFERENCE,3.4,1680,4000.0,100000,Everyone,3.05,4.0.3 and up,Books & Reference,2600
BOOKS_AND_REFERENCE,4.9,2739,21000.0,50000,Everyone,2.0,3.0 and up,Books & Reference,1904
BOOKS_AND_REFERENCE,4.6,1065,2300.0,500000,Everyone,1.5,3.0 and up,Books & Reference,1935
BOOKS_AND_REFERENCE,4.4,233757,14000.0,10000000,Everyone,Varies with device,Varies with device,Books & Reference,1981
BOOKS_AND_REFERENCE,4.4,8788,10000.0,1000000,Everyone,2.5.3,4.0 and up,Books & Reference,1893
BOOKS_AND_REFERENCE,4.4,51269,6100.0,1000000,Everyone,7.0.4.6,4.2 and up,Books & Reference,1902
BOOKS_AND_REFERENCE,4.4,30105,2100.0,1000000,Everyone,1.15,4.0.3 and up,Books & Reference,1892
BOOKS_AND_REFERENCE,3.5,156,42000.0,500000,Everyone,3.1.7.9,2.2 and up,Books & Reference,2056
BOOKS_AND_REFERENCE,4.4,341157,30000.0,10000000,Everyone 10+,3.9.1,4.2 and up,Books & Reference,2023
BUSINESS,4.1,16129,14000.0,10000000,Everyone,Varies with device,Varies with device,Business,1891
BUSINESS,4.3,674730,14000.0,50000000,Everyone,Varies with device,Varies with device,Business,1961
BUSINESS,4.4,1254730,14000.0,10000000,Everyone,Varies with device,Varies with device,Business,1887
BUSINESS,4.3,85185,29000.0,5000000,Everyone,3.4.2,5.0 and up,Business,1904
BUSINESS,4.3,32584,14000.0,1000000,Everyone,Varies with device,Varies with device,Business,1978
BUSINESS,4.1,217730,14000.0,50000000,Everyone,Varies with device,Varies with device,Business,2010
BUSINESS,4.4,70991,14000.0,5000000,Everyone,2.19.0.204537701,4.4 and up,Business,1897
BUSINESS,4.3,1002861,35000.0,100000000,Everyone,9.7.14188,4.1 and up,Business,1888
BUSINESS,3.9,16589,9100.0,1000000,Everyone,4.9.10,4.0.3 and up,Business,1937
BUSINESS,4.8,148945,25000.0,1000000,Everyone,5.2.8,5.0 and up,Business,1902
BUSINESS,4.5,4458,3900.0,500000,Everyone,3.3,4.1 and up,Business,1913
BUSINESS,4.4,62272,18000.0,10000000,Everyone,3.550.2,4.1 and up,Business,1925
BUSINESS,4.0,8941,12000.0,5000000,Everyone,4.6.30,4.0.3 and up,Business,1890
BUSINESS,4.3,46353,21000.0,1000000,Everyone,2.8,1.5 and up,Business,2729
BUSINESS,4.0,1279184,14000.0,50000000,Everyone,Varies with device,Varies with device,Business,1888
BUSINESS,4.2,88073,14000.0,10000000,Everyone,Varies with device,Varies with device,Business,1912
BUSINESS,4.5,67000,14000.0,1000000,Everyone,Varies with device,4.3 and up,Business,1904
BUSINESS,4.2,159872,14000.0,10000000,Everyone,Varies with device,Varies with device,Business,1890
BUSINESS,4.2,30847,55000.0,5000000,Everyone,7.3.21,4.1 and up,Business,2063
BUSINESS,4.6,188841,3200.0,5000000,Everyone,1.1.13,4.0 and up,Business,1930
BUSINESS,4.1,11622,14000.0,5000000,Everyone,Varies with device,Varies with device,Business,1895
BUSINESS,4.6,95912,14000.0,5000000,Everyone,Varies with device,Varies with device,Business,1891
BUSINESS,3.1,4034,0.023,100000,Everyone,3.0.1.11 (Build 311),2.2 and up,Business,2944
BUSINESS,3.9,45964,16000.0,1000000,Everyone,5.1.5,4.1 and up,Business,1903
BUSINESS,4.3,14955,14000.0,1000000,Everyone,Varies with device,Varies with device,Business,1891
BUSINESS,4.1,6903,14000.0,1000000,Everyone,2.3.6,4.1 and up,Business,1911
BUSINESS,4.4,31614,37000.0,10000000,Everyone,4.1.28165.0716,4.0 and up,Business,1901
BUSINESS,4.1,23055,14000.0,5000000,Everyone,Varies with device,Varies with device,Business,1943
BUSINESS,4.1,19023,14000.0,1000000,Everyone,99.0.0.35.75,4.1 and up,Business,1889
BUSINESS,4.5,207372,11000.0,5000000,Everyone,12.2.4,4.0 and up,Business,1888
BUSINESS,4.4,1225,25000.0,100000,Everyone,1.0.6.8,4.1 and up,Business,1889
BUSINESS,4.4,380837,7300.0,10000000,Everyone,3.4.5,4.2 and up,Business,1917
BUSINESS,4.3,10600,6500.0,1000000,Everyone,2.5.6,4.0 and up,Business,1889
BUSINESS,4.4,74359,25000.0,1000000,Everyone,1.12.5,4.0 and up,Business,1894
BUSINESS,4.6,822,3100.0,100000,Everyone,1.5,4.0.3 and up,Business,1943
BUSINESS,4.2,80805,14000.0,5000000,Everyone,Varies with device,4.0.3 and up,Business,2045
BUSINESS,4.4,2287,1500.0,1000000,Everyone,4.9,2.2 and up,Business,2017
BUSINESS,4.7,4162,7500.0,100000,Everyone,0.9.4,4.0.3 and up,Business,1897
BUSINESS,3.8,14760,8600.0,50000000,Everyone,1.1.07.6,7.0 and up,Business,2071
BUSINESS,3.9,23243,14000.0,5000000,Everyone,Varies with device,Varies with device,Business,1926
BUSINESS,4.3,8978,14000.0,1000000,Everyone,Varies with device,Varies with device,Business,1896
BUSINESS,4.2,80805,14000.0,5000000,Everyone,Varies with device,4.0.3 and up,Business,2045
BUSINESS,4.4,42492,14000.0,1000000,Everyone,Varies with device,Varies with device,Business,1910
BUSINESS,4.7,286897,39000.0,10000000,Everyone,1.2.6,3.0 and up,Business,2317
BUSINESS,4.5,103755,14000.0,10000000,Everyone,3.9.2,4.1 and up,Business,1910
BUSINESS,4.2,46505,19000.0,1000000,Everyone,3.4.49,4.1 and up,Business,1888
BUSINESS,4.7,11442,6800.0,100000,Everyone,1.5.2,4.0 and up,Business,2018
BUSINESS,4.8,10295,39000.0,100000,Everyone,3.4.6,3.0 and up,Business,2366
BUSINESS,4.2,159872,14000.0,10000000,Everyone,Varies with device,Varies with device,Business,1890
BUSINESS,4.2,296,14000.0,50000,Everyone,3.2.1,4.1 and up,Business,1936
BUSINESS,4.3,29313,20000.0,5000000,Everyone,1.12.0,4.0.3 and up,Business,1891
BUSINESS,4.4,70991,14000.0,5000000,Everyone,2.19.0.204537701,4.4 and up,Business,1897
BUSINESS,4.4,51507,14000.0,5000000,Everyone,Varies with device,Varies with device,Business,1888
BUSINESS,4.1,1802,26000.0,100000,Everyone,1.7.14,4.2 and up,Business,1994
BUSINESS,3.8,1383,51000.0,100000,Everyone,3.24.1,5.0 and up,Business,1909
BUSINESS,4.3,23175,41000.0,1000000,Everyone,18.7,4.1 and up,Business,1908
BUSINESS,3.8,5868,20000.0,500000,Everyone,3.19.005,4.1 and up,Business,1918
BUSINESS,3.5,2111,14000.0,100000,Everyone,Varies with device,Varies with device,Business,1891
BUSINESS,4.1,5448,12000.0,500000,Everyone,4.9.1,5.0 and up,Business,1896
BUSINESS,4.6,4159,48000.0,500000,Everyone,6.1.2,4.0.3 and up,Business,1901
BUSINESS,4.3,20815,10000.0,1000000,Everyone,6.4.4,5.0 and up,Business,1895
BUSINESS,4.5,78662,22000.0,1000000,Everyone,3.7.5,4.4 and up,Business,2058
BUSINESS,4.1,7149,11000.0,1000000,Everyone,2.6.158,4.0 and up,Business,1890
BUSINESS,4.5,3079,8500.0,100000,Everyone,5.20.7,4.1 and up,Business,1888
BUSINESS,4.6,5800,8600.0,100000,Everyone,5.20.7,4.1 and up,Business,1888
BUSINESS,4.0,6989,14000.0,1000000,Everyone,4.3.0.508,4.4 and up,Business,1905
BUSINESS,4.2,16422,28000.0,1000000,Everyone,10.46.2,4.1 and up,Business,1889
BUSINESS,4.4,108741,28000.0,10000000,Everyone,11.1.0,4.3 and up,Business,1901
BUSINESS,4.4,31614,37000.0,10000000,Everyone,4.1.28165.0716,4.0 and up,Business,1901
BUSINESS,4.0,624,9000.0,100000,Everyone,1.2.287,5.0 and up,Business,2021
BUSINESS,4.2,1661,46000.0,100000,Everyone,3.0.4651,4.4 and up,Business,1888
BUSINESS,4.2,97702,14000.0,5000000,Everyone,Varies with device,Varies with device,Business,1910
BUSINESS,4.1,308,14000.0,50000,Everyone,3.1.4.0,4.0.3 and up,Business,1953
BUSINESS,4.0,6989,14000.0,1000000,Everyone,4.3.0.508,4.4 and up,Business,1905
BUSINESS,3.8,5211,26000.0,1000000,Everyone,3.3.0,4.0 and up,Business,1891
BUSINESS,3.9,1058,23000.0,500000,Everyone,2.22.397,5.0 and up,Business,1922
BUSINESS,3.9,78172,14000.0,10000000,Everyone,Varies with device,Varies with device,Business,1888
BUSINESS,4.2,159872,14000.0,10000000,Everyone,Varies with device,Varies with device,Business,1890
BUSINESS,4.2,296,14000.0,50000,Everyone,3.2.1,4.1 and up,Business,1936
BUSINESS,4.3,29313,20000.0,5000000,Everyone,1.12.0,4.0.3 and up,Business,1891
BUSINESS,4.4,70991,14000.0,5000000,Everyone,2.19.0.204537701,4.4 and up,Business,1897
BUSINESS,4.4,51507,14000.0,5000000,Everyone,Varies with device,Varies with device,Business,1888
BUSINESS,4.1,1802,26000.0,100000,Everyone,1.7.14,4.2 and up,Business,1994
BUSINESS,3.8,1383,51000.0,100000,Everyone,3.24.1,5.0 and up,Business,1909
BUSINESS,4.3,23175,41000.0,1000000,Everyone,18.7,4.1 and up,Business,1908
BUSINESS,3.8,5868,20000.0,500000,Everyone,3.19.005,4.1 and up,Business,1918
